Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-06-16,But Muzeyyen That's the Deepest Desire,2014,https://boxd.it/2VSBHj,3,,kumar sahnesinde patladım. onun dışında da büyük büyük laflar etmeye çalışıp pek de bir şey söylemiyor. meh,,2022-06-16
2022-06-21,Mean Girls,2004,https://boxd.it/2WOUPR,3.5,,"Heathers, but no one dies. Still fun though",,
2022-06-22,Easy A,2010,https://boxd.it/2WY0Ej,2,,"vasat, emma stone bile kurtaramamış",,
2022-07-06,Dead Poets Society,1989,https://boxd.it/2ZBcuh,4,,"vakit varken tomurcukları topla. zaman hala uçup gidiyor ve bugün gülümseyen bu çiçek, yarın ölüyor olabilir",,
2022-07-09,Everything Everywhere All at Once,2022,https://boxd.it/30cFij,4,,rollercoster gibi film sürekli bi şeyler değişiyo her şeyi takip edemiyosun ama sürekli wuhuuuu diye bağırıp eğleniyosun,,2022-07-09
2022-07-11,American Psycho,2000,https://boxd.it/30D9p7,3.5,,why not you stupid bastard,,2022-07-11
2022-07-12,Apocalypse Now,1979,https://boxd.it/30Qfcz,3.5,,vietnam savaşıyla ilgili filmlerin maksimum bir buçuk saat sürmesiyle ilgili khk,,2022-07-12
2022-07-12,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/30QgZR,4,,"liked the series finale more, sory",,
2022-07-14,Rent,2005,https://boxd.it/31eaHF,5,,"Mastapiece, I f'ing love Jonathan Larson.",,2022-07-14
2022-07-14,Spider-Man: No Way Home,2021,https://boxd.it/31ebTd,3.5,,fan service için ek yıldız verecek değiliz ,,
2022-07-15,West Side Story,2021,https://boxd.it/31oHGv,3.5,,müzikal filmlerde normal filmlerden farklı bir hissiyat olmasını bekliyorum. bundan bazı yerlerde o tadı alamayınca eksik kalmış hissettirdi (muhtemelen spielbergin çektiği tek müzikal olduğu için). ha bir de adam beş dk önce abini bıçakladı yavaş maria,,2022-07-14
2022-07-18,Monty Python and the Holy Grail,1975,https://boxd.it/322lop,3.5,,güldük eğlendik ama artık monty python kim söyleyin,,2022-07-18
2022-07-19,Alita: Battle Angel,2019,https://boxd.it/32fVeB,3.5,,harikalar yaratmasa da izlemesi keyifli bolca kesmeli biçmeli bir aksiyon bilim kurgu. boş bir vakitte izlemelik,,2022-07-19
2022-07-22,Beetlejuice,1988,https://boxd.it/32OF17,4,,best cgi ever,,2022-07-22
2022-08-19,Her,2013,https://boxd.it/390t6n,4,,sıradaki ml projem,,2022-08-19
2022-08-26,Unbreakable,2000,https://boxd.it/3alNwV,4,,hikayesini uzun uzun sindire sindire işlerken konuyu toparlayıp kapanış yapma kısmında çok aceleye gelmiş gibi hissettirdi. bir yerden sonra haa bu üçlemeydi zaten sonraki filmde devam edecek herhalde hikaye dedim ama öyle de değilmiş. buna rağmen finalini de beğendim ama biraz sindirerek gidip 2 saate çıksaymış yarım yıldız daha verebilirdim,,2022-08-26
2022-08-27,Split,2016,https://boxd.it/3aweDf,3.5,,james mcavoyun şov yaptığı filmdir. hatta öyle şov yapmıştır ki diğer oyuncular bütün film boyunca sadece şaşkın şaşkın bakabilmişlerdir,,2022-08-27
2022-08-28,Glass,2019,https://boxd.it/3aIHCp,4,,Unbreakable üçlemesini güzel bir şekilde noktaladık. Konuyu yüksek görsel efektlere uçuşlu kaçışlı aksiyon sahnelerine dayanmadan sakin sakin işlemesi diyaloglara ağırlık vermesi sokak seviyesi güçlere sahip süper kahramanlarımız için mükemmel uymuş. Mr Glass'ı bu konuda hariç tutuyorum. Mr Glass ana karakter olmasına rağmen giriş ve gelişmede puppetmaster olarak arkaplanda kaldığı için bu kısımlarda ağır ve temiz bir işleniş var. Fakat finalde yaptıklarıyla world tier bir (anti)kahraman olarak Mr Glass ön plana çıkıyor. Burada açığa çıkan şeyler ve gerçekleşen olaylar filmin sonuçlanması ve ana karakter Mr Glass'ı sindirmemiz açısından önemliyken işleniş aceleye gelmiş hissettirdi. Unbreakableda olduğu gibi burada da film biraz daha uzatılıp hakkettiği şekilde bitirilebilirmişti.,,2022-08-28
2022-08-28,The Sixth Sense,1999,https://boxd.it/3aQiN9,4,,malcolmun işkolikliği halis mi,,2022-08-28
2022-08-31,In the Heights,2021,https://boxd.it/3biviz,4.5,,filmin çekim aşamasında lin manuel mirandanın kendini nasıl en alakasız yerlerde soktuğunu anlatan spin-offu heyecanla bekliyorum,,2022-08-30
2022-08-31,Arrival,2016,https://boxd.it/3bklPR,4.5,,"filmi dilciler yazdığı için uzaylı bir ırkla nasıl iletişim kuruluru çok güzel işlerken sonunda dille ne yapıcaz kısmında time travel bsi atıp koşarak uzaklaşmışlar (yarım yıldız kırdım)
daha iyisi için bkz: contact",,2022-08-30
2022-09-11,Zodiac,2007,https://boxd.it/3diUE9,4,,"1 puanı zaman geçişlerinin ne olduğunu anlamayı zorlaştırması
1 puanı da jake gyllenhaal ve mark ruffaloyu izlemeyi sevmediğimden kırdım

hafif spoiler---
1 puan da sürekli bir şeyler olacakmış gibi gidip hiçbir şey olmamasından kıracaktım ama 7 puanlık bir film gibi gelmediğinden görmezden geliyorum. ayrıca film gereksiz uzuyo sonlara doğru",,2022-09-10
2022-09-15,Scott Pilgrim vs. the World,2010,https://boxd.it/3e4uPh,5,,"çok eğlendim, bolca güldüm. tam kafayı kenara koyup stres atmalık film",,2022-09-15
2023-01-13,Justice League Dark,2017,https://boxd.it/3H3bYD,3,,eh işte soyadı istanbul olan karakterimiz havalı onun dışında pek de bi olayı yok,,2023-01-12
2023-01-13,Justice League Dark: Apokolips War,2020,https://boxd.it/3H3fKZ,3.5,,"eh, birkaç ilgi çekici noktası var, istanbul abi var bir de baya saçma bitişi var. pas geçilebilir. dark serisi kendini sunduğu kadar dark ve ilgi çekici değil.",,2023-01-12
2023-01-17,The Menu,2022,https://boxd.it/3Iy05N,3.5,,"AAHHHH CHEESEBURGER YAPMAK, TEK ZAYIF NOKTAM, BENİ YENDİN ARTIK EVİNE GİDEBİLİRSİN
saçmalığıyla bağırttı ahahaha",,2023-01-16
2023-01-26,The Grand Budapest Hotel,2014,https://boxd.it/3LkSNN,4,,macera ve komedi karışımı filmlere ne kadar eğlendirdikleri üzerinden puan vermeyi daha uygun görüyorum. budapeşte otelinde yedi puanlık eğlendim. görsellik ve oyunculuk içinde bir puan eklemezsem haksızlık olur. ama mutlaka izlenmesi gereken bir film olduğunu düşünmüyorum. zaman geçirmek ve hafif gözümüz gönlümüz açılsın düşünceleriyle izlemek daha ideal.,,2023-01-26
