Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-05,to watch,,https://boxd.it/gR8As,

Position,Name,Year,URL,Description
1,A moment later just like a dream,2021,https://boxd.it/z3nQ,
2,The Life and Movies of Erşan Kuneri,2022,https://boxd.it/BhEA,
3,Obi-Wan Kenobi,2022,https://boxd.it/yLBA,
4,Westworld,1973,https://boxd.it/26RS,
5,Ms. Marvel,2022,https://boxd.it/ANCY,
6,The Boys,1998,https://boxd.it/1Pl6,
7,"Love, Death & Robots: When the Yogurt Took Over",2019,https://boxd.it/lFSY,
8,The 30 Foot Bride of Candy Rock,1959,https://boxd.it/3Kga,
9,The Fringe Dwellers,1986,https://boxd.it/12qc,
10,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
11,Dune,2021,https://boxd.it/fA7G,
12,Rent,2005,https://boxd.it/2844,
13,In the Heights,2021,https://boxd.it/gLhu,
14,West Side Story,2021,https://boxd.it/iwt0,
15,Spencer,2021,https://boxd.it/qPMG,
16,The King's Man,2021,https://boxd.it/h714,
17,Eternals,2021,https://boxd.it/j36o,
18,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
19,Black Widow,2021,https://boxd.it/hWV8,
20,Another Round,2020,https://boxd.it/lkba,
21,Tenet,2020,https://boxd.it/leq4,
22,The Silence of the Lambs,1991,https://boxd.it/2aHW,
23,Free Guy,2021,https://boxd.it/k8dm,
24,Pride & Prejudice,2005,https://boxd.it/24u8,
25,Eyes Wide Shut,1999,https://boxd.it/2axs,
26,American Beauty,1999,https://boxd.it/71Y,
27,Mean Girls,2004,https://boxd.it/1VNg,
28,Lightyear,2022,https://boxd.it/qV1G,
29,Black Swan,2010,https://boxd.it/Sw0,
30,Atonement,2007,https://boxd.it/24ui,
31,Mortal World,2018,https://boxd.it/i1G8,
