Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-13,movies that i am willing to watch this semester ,,https://boxd.it/rZtl4,yeah

Position,Name,Year,URL,Description
1,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
2,May December,2023,https://boxd.it/vEE2,
3,Flightplan,2005,https://boxd.it/1YZu,
4,The Boy and the Heron,2023,https://boxd.it/ipeM,
5,The Wind Rises,2013,https://boxd.it/4JQS,
6,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
7,Innocence,1997,https://boxd.it/1j9W,
8,Destiny,2006,https://boxd.it/SMM,
9,Poor Things,2023,https://boxd.it/tNWU,
10,Barbie,2023,https://boxd.it/bCLK,
11,Anatomy of a Fall,2023,https://boxd.it/yuDE,
12,Wonka,2023,https://boxd.it/tCQm,
13,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,
14,The King of Comedy,1982,https://boxd.it/2aJS,
15,Maestro,2023,https://boxd.it/j0DE,
